title,artist,url,description
Lut gye,Jubin,https://youtu.be/sCbbMZ-q4-I?si=1ROSuLSJE_TuUB4O,A nostalgic track for those long corporate hours and late-night work.
Tum Hi Ana,Jubin,https://youtu.be/tLqtnGLfm4Q?si=MDgqmfrUUlZ1uKAf,A calm and soothing song for relaxing during a busy corporate day.
Raataan lambiyan,Jubin,https://youtu.be/gvyUuxdRdR4?si=nRsEu8EPIwEYNV5o,a.
Barbaad,Jubin,https://youtu.be/W1y8blwMLxY?si=72xUCDdjLYfW4_5B,b.
Tujhe Kitna Chahein Aur,Jubin,https://youtu.be/92J9p0VplTo?si=cCVQbybvWMARCWmj,c.
Maherbani,jubin,https://youtu.be/kDgBQFbwX2Y?si=L6-7izNWK1n7OYfl,d.
Dil galti kar baitha,jubin,https://youtu.be/1--qqQrimMA?si=NCoJU0An_79fgNsL,e.
Hamnava,jubin,https://youtu.be/TmRgK-pXH9c?si=JmnIMeNCZKMsZRcj,f.
Sath Hum Rahe,jubin,https://youtu.be/WNsfyN3jtdQ?si=tYYDM_5UkihDtIEd,g.
Meri Aashique,jubin,https://youtu.be/SVjkxdjivts?si=6iNrCEFnENwdwfTE,h.
Dhoom Machale,Sunidhi,https://youtu.be/2uUmHTgT65I?si=jNXt2RYwR8yAt1IZ,i.
crazy kiya re,Sunidhi,https://youtu.be/J2Bh68GTUOU?si=P4JLLbdtQ1qkbSyo,j.
Shila ki Jawani,Sunidhi,https://youtu.be/ZTmF2v59CtI?si=621hg2F2rxgkCuRh,k.
Kamli,Sunidhi,https://youtu.be/C8kSrkz8Hz8?si=0JJvBmKiHL2s28f5,l.
Beedi Jalaile,Sunidhi,https://youtu.be/XLJCtZK0x5M?si=Qplkpi57YdpUyyWv,m.
Dance Pe Chance,Sunidhi,https://youtu.be/rap8SoUIPaw?si=jP0IMvXF6gpfn95X,o.
Saami Saami,Sunidhi,https://youtu.be/vdY5SFZBgnk?si=UhRWg11lVN4dr9D3,p.
Show me the Thumka,Sunidhi,https://youtu.be/KgpFBdapobY?si=PQZAHJmTvV8K303S,q.
Halkat Jawani,Sunidhi,https://youtu.be/PzcSrkMKDdk?si=25cTrcL-sjPW0uaV,r.
Chhaliya,Sunidhi,https://youtu.be/YPpOqfIQ5ME?si=DYo66GctdRK618t5,s.
Kal ho na ho,Sonu Nigam,https://youtu.be/g0eO74UmRBs?si=waHxHynIqcyp31Z0,t.
Mai Agar kahu,Sonu Nigam,https://youtu.be/DAYszemgPxc?si=ew52hKY2thxlJy_g,u.
Abhi Mujhme Kahi,Sonu Nigam,https://youtu.be/oWKgpB2zpgw?si=Pz9yCzR81eNnrE-T,v.
Sandese aate hai,Sonu Nigam,https://youtu.be/yccGxvIydKg?si=n-qWSJ59kD3jci-o,w.
Paha Nasha,Udit narayana,https://youtu.be/ODu7OyAqK-Q?si=4-G6Txn6NFwuNwnT,x.
Taal se Taal,Udit narayana,https://youtu.be/y5fpw10Kt2s?si=8ejluLW0FRoG4vBG,y.
Yuhi hi Chala Chal,Udit narayana,https://youtu.be/JbNlkYQG5XI?si=6zCH9NgqBwN-qTtj,z.
Ab tere bin jee lenge hum,kumar sanu,https://youtu.be/rXHY4Cv9cA8?si=7TIiPKhvfCTwDyy4,a.
Bas Ek sanam Chahiye,kumar sanu,https://youtu.be/fBylcT-TWZw?si=So9TRB_C4X9hxJrE,b.
Tu meri jindagi hai,kumar sanu,https://youtu.be/oEg_iXEWlt4?si=biSXcifC68j5nQu9,c.
Kesariya,Arijit,https://youtu.be/BddP6PYo2gs?si=_BLmPFy9m-Str9vs,d.
Satranga,Arijit,https://youtu.be/HrnrqYxYrbk?si=wqZqAP_sUXZIgrSJ,e.
Sajni,Arijit,https://youtu.be/XJAMVPQWvGY?si=GfwRVQjWQmHt_-cR,f.
Apna bana le,Arijit,https://youtu.be/UEvOsQBu1jY?si=7RtexhtkZB_JH40U,g.
O mahi,Arijit,https://youtu.be/Etkd-07gnxM?si=XbVX-UBEroCpJI-0,h.
Hawaye,Arijit,https://youtu.be/cYOB941gyXI?si=DE4k0jKukiB7Kg2r,i.
Aye dil hai muskil,Arijit,https://youtu.be/6FURuLYrR_Q?si=C92QbiT9EULWfcw5,j.
Humdard,Arijit,https://youtu.be/FJ55SHCzt88?si=MrFOTsRqa99_yzKA,k.
Tauba tauba,Karan Aujla,https://youtu.be/uTuchIYZdbM?si=uNjQE30D3_vVlLlq,l.
Aaj ki raat,Sachin-Jigar,https://youtu.be/hxMNYkLN7tI?si=QvrcZta93FAzQ5-Y,m.
For a reason,Karan Aujla,https://youtu.be/-YlmnPh-6rE?si=3mVzSBBQFnPXRGWv,n.
Chaleya,Arijit,https://youtu.be/VAdGW7QDJiU?si=KYQgd_OmyjSNd2Jn,o.
